pwsid,org_id,source_facility_id,source_facility_name,source_facility_activity_status,source_facility_availability,source_facility_type,water_type,latitude,longitude
CA0103040,NA,001,upper spring,active,permanent,spring,groundwater,37.753023,-122.014335
CA0103040,NA,002,cistern spring,active,permanent,spring,groundwater,37.7539,-122.0158
CA0103040,NA,003,lower spring,active,permanent,spring,groundwater,37.754,-122.016
CA0103041,NA,001,well 01,active,permanent,well,groundwater,37.7167,-122.14588
CA0103041,NA,003,ebmud connection,active,permanent,consecutive connection,surface water,37.71716,-122.14554
CA0105002,NA,001,well 01,active,permanent,well,groundwater,37.809915,-121.559597
CA0105008,NA,001,sfpuc pleasanton wells,active,permanent,consecutive connection,groundwater,37.6447,-121.892708
CA0105009,NA,003,hauled water,active,permanent,"non-piped, purchased",surface water,37.786979,-121.577572
CA0105009,NA,Not Available,all pure water hauling,not available,permanent,purchased,surface water,NA,NA
CA0105010,NA,001,lake del valle,active,permanent,intake,surface water,37.586202,-121.706583
CA0105012,NA,001,well 01 (headquarters),active,permanent,well,groundwater,37.515201,-121.831073
CA0105013,NA,001,spring 02,active,permanent,spring,groundwater,37.805868,-122.161059
CA0105016,NA,001,main well,active,permanent,well,groundwater,37.754659,-121.575644
CA0105017,NA,001,spring 01,active,permanent,spring,groundwater,37.539114,-121.570458
CA0105018,NA,001,poi well,active,permanent,well,groundwater,37.667422,-121.676105
CA0105019,NA,001,water well-1,active,permanent,well,groundwater,37.57306,-121.88479
CA0105020,NA,002,auxiliary well,active,permanent,well,groundwater,37.665479,-121.889997
CA0110001,23,041,sfpuc takeoff - pt blend facility (sf1),active,permanent,consecutive connection,surface water,37.566278,-121.978315
CA0110001,23,049,bellflower well,active,permanent,well,groundwater,37.530484,-122.00989
CA0110003,401,001,del valle wtp connection to zone 7,active,permanent,consecutive connection,surface water,37.6325,-121.784722
CA0110003,401,002,patterson pass wtp connection to zone 7,active,permanent,consecutive connection,surface water,37.694722,-121.680833
CA0110003,401,021,well 31-01,active,permanent,well,groundwater,37.683082,-121.789807
CA0110005,775,001,briones reservoir,active,permanent,intake,surface water,37.915041,-122.206954
CA0110005,775,010,upper san leandro reservoir,active,permanent,intake,surface water,37.778763,-122.122481
CA0110005,775,021,walnut creek wtp intake,active,permanent,intake,surface water,37.915,-122.087
CA0110005,775,022,freeport regional water project,active,permanent,intake,surface water,38.472578,-121.506575
CA0110006,1143,001,mission san jose turnout - treated,active,permanent,consecutive connection,surface water,37.547649,-121.935732
CA0110006,1143,002,newark turnout - treated,active,permanent,consecutive connection,surface water,37.521977,-122.05703
CA0110006,1143,007,well e - emergency standby,active,emergency,well,groundwater,37.618876,-122.097391
CA0110008,1940,002,well 06,active,permanent,well,groundwater,37.672896,-121.872233
CA0110008,1940,004,well 08,active,emergency,well,groundwater,37.676552,-121.860434
CA0110008,1940,005,alameda county fcwd - zone #7 - treated,active,permanent,consecutive connection,surface water,37.6524,-121.805814
CA0110009,759,003,zone 7 wa - turnout #1 - treated,active,permanent,consecutive connection,surface water,37.711571,-121.910006
CA0110009,759,004,zone 7 wa - turnout #2 - treated,active,permanent,consecutive connection,surface water,37.717015,-121.915584
CA0110010,NA,017,chain of lakes well no. 5,active,permanent,well,groundwater,37.6916,-121.8481
CA0110010,NA,019,stoneridge well 01,active,permanent,well,groundwater,37.692246,-121.867178
CA0110010,NA,023,chain of lakes well 01,active,permanent,well,groundwater,37.685691,-121.846219
CA0110010,NA,024,chain of lakes well 02,active,permanent,well,groundwater,37.685681,-121.837888
CA0110011,1443,001,trevarno rd.-zone 7-treated,active,permanent,consecutive connection,surface water,37.690833,-121.742778
CA0110011,1443,002,altamont pumps-zone 7-treated,active,permanent,consecutive connection,surface water,37.696944,-121.683611
CA0110011,1443,003,vasco-zone 7-treated,active,permanent,consecutive connection,surface water,37.711667,-121.721389
CA0110012,2164,001,sfrws - treated,active,permanent,consecutive connection,surface water,37.592778,-121.890583
CA0110016,NA,001,east bay mud - purchased - treated,active,permanent,consecutive connection,surface water,37.78,-122.29
CA0110018,2164,004,well a,active,permanent,well,groundwater,37.664716,-121.897434
CA0110018,2164,005,well b,active,permanent,well,groundwater,37.662123,-121.897397
CA0110650,NA,001,delta mendota canal,active,permanent,intake,surface water,37.797314,-121.585403
CA0110701,NA,001,sfpuc rws connection,active,permanent,consecutive connection,surface water,37.611,-121.68
CA0110800,NA,001,mission grade well #1,active,permanent,well,groundwater,37.565686,-121.897285
CA0202501,NA,001,well 01,active,permanent,well,groundwater,33.549167,-116.151583
CA0202502,NA,001,well 01,active,permanent,well,groundwater,38.776673,-119.822669
CA0202503,NA,001,well 01,inactive,permanent,well,groundwater,38.773194,-119.818527
CA0202503,NA,002,well 02,active,permanent,well,groundwater,36.903891,-119.91199400000001
CA0202504,NA,001,creek intake - raw,active,permanent,intake,surface water,38.688426,-119.809979
CA0202504,NA,003,well 01,active,permanent,well,groundwater,38.691725,-119.80236
CA0202504,NA,004,well nio. 2,active,permanent,well,groundwater,38.691561,-119.803583
CA0202505,NA,001,hand pump,active,permanent,well,groundwater,38.517949,-119.902436
CA0202506,NA,001,well,active,permanent,well,groundwater,38.703448,-120.051634
CA0202509,NA,001,spring,active,permanent,spring,groundwater,38.69206,-119.839547
CA0202512,NA,001,well,active,permanent,well,groundwater,38.774371,-119.903141
CA0202513,NA,001,spring,active,permanent,spring,groundwater,38.69206,-119.839547
CA0202515,NA,001,well 01,active,permanent,well,groundwater,38.682734,-119.752786
CA0202516,NA,001,well 01,active,permanent,well,groundwater,38.776888,-119.899472
CA0202517,NA,006,silvertip campground well-06,active,permanent,well,groundwater,38.481544,-120.017797
CA0202519,NA,001,well 01,active,permanent,well,groundwater,37.911139,-122.004674
CA0202520,NA,001,well 01,active,permanent,well,groundwater,38.775638,-119.893472
CA0202522,NA,001,well 01,active,permanent,well,groundwater,38.757113,-119.818377
CA0202523,NA,001,hand pump,active,permanent,well,groundwater,38.537918,-119.825108
CA0202524,NA,001,well 01,active,permanent,well,groundwater,38.4885,-119.807555
CA0202525,NA,001,well 01,active,permanent,well,groundwater,38.488111,-119.804944
CA0202529,NA,002,well 02,active,permanent,well,groundwater,38.729455,-119.930136
CA0202532,NA,001,well,active,permanent,well,groundwater,38.764944,-119.848805
CA0202542,NA,002,well 02,active,permanent,well,groundwater,38.687244,-120.009808
CA0202546,NA,002,well 1,active,permanent,well,groundwater,38.704486,-120.052413
CA0202547,NA,001,well,active,permanent,well,groundwater,38.403063,-119.803046
CA0202548,NA,001,well,active,permanent,well,groundwater,38.406833,-119.790123
CA0202549,NA,001,spring 01,active,permanent,spring,groundwater,38.4878,-120.046431
CA0202550,NA,001,well 01,active,permanent,well,groundwater,38.76925,-119.816333
CA0202552,NA,001,well 01,active,permanent,well,groundwater,38.631431,-119.937809
CA0202554,NA,001,hand pump,active,permanent,well,groundwater,38.612423,-119.926069
CA0202556,NA,001,well 01,active,permanent,well,groundwater,38.639957,-119.955477
CA0202557,NA,001,hand pump,active,permanent,well,groundwater,38.627127,-119.936758
CA0202562,NA,001,hand pump,active,permanent,well,groundwater,38.404138,-119.787305
CA0202564,NA,001,hand pump,active,permanent,well,groundwater,38.404102,-119.789091
CA0202565,NA,001,hand pump,active,permanent,well,groundwater,38.404111,-119.791555
CA0202566,NA,001,hand pump,active,permanent,well,groundwater,38.404222,-119.790888
CA0202570,NA,001,well 01,active,permanent,well,groundwater,38.675508,-120.057827
CA0202599,NA,001,well 01,active,permanent,well,groundwater,38.810166,-119.7805
CA0205425,NA,002,well #2,active,permanent,well,groundwater,38.770958,-119.816633
CA0210001,NA,001,bear lake - raw,active,permanent,intake,surface water,38.472934,-120.044061
CA0210002,NA,002,well 02 - raw,active,permanent,well,groundwater,38.692305,-120.069917
CA0210002,NA,005,well 03r - raw,active,permanent,well,groundwater,38.687721,-120.070244
CA0210002,NA,007,well 05 - raw,active,permanent,well,groundwater,38.689583,-120.068027
CA0210300,NA,001,buck creek - raw,active,permanent,intake,surface water,38.702952,-119.842814
CA0300006,NA,001,camp ritche well 01,active,permanent,well,groundwater,38.552527,-120.231138
CA0300007,NA,001,plasse spring primary source,active,permanent,spring,groundwater,38.621388,-120.130833
CA0300010,NA,001,awa purchased source,active,permanent,consecutive connection,surface water,38.436639,-120.832371
CA0300011,NA,001,well 01 - raw,active,permanent,well,groundwater under the direct influence of surface water,38.360361,-120.749472
CA0300011,NA,004,well 02 - raw,proposed,permanent,well,groundwater,38.360653,-120.748501
CA0300016,NA,001,volcano csd well 01,active,permanent,well,groundwater,38.444444,-120.63
CA0300016,NA,002,volcano csd well 02,active,permanent,well,groundwater,38.443888,-120.630638
CA0300016,NA,003,cleveland tunnel-raw,active,permanent,well,groundwater under the direct influence of surface water,38.443888,-120.630555
CA0300019,NA,003,fiddletown csd well 02,active,permanent,well,groundwater,38.505855,-120.761282
CA0300022,NA,005,well no. 01,active,permanent,well,groundwater,38.543437,-120.228516
CA0300024,NA,002,well 02 - raw,active,permanent,well,groundwater,38.406164,-120.646699
CA0300025,NA,001,hams station well 01,active,permanent,well,groundwater,38.544055,-120.377472
CA0300028,NA,001,amador harvest inn well 01,active,permanent,well,groundwater,38.542112,-120.792511
CA0300032,NA,001,silver lake campground spring 01,active,permanent,spring,groundwater,38.532765,-120.22631
CA0300033,NA,001,bear river so shore spring 01,active,permanent,spring,groundwater,38.53263,-120.242493
CA0300034,NA,002,bear river group camp well 01,active,permanent,well,groundwater,38.533717,-120.229723
CA0300036,NA,001,bear river resort well 01,active,permanent,well,groundwater,38.550553,-120.25612
CA0300037,NA,001,lake amador-raw - standby,active,interim,intake,surface water,38.303758,-120.887488
CA0300037,NA,003,jvid pardee res-raw,active,permanent,intake,surface water,38.297708,-120.866528
CA0300043,NA,001,o k corral well 01,active,permanent,well,groundwater,38.478638,-120.523472
CA0300048,NA,001,barrett's place well 01,active,permanent,well,groundwater,38.491824,-120.513015
CA0300049,NA,001,plasses spring 01 - wrcb #1093a,active,permanent,spring,groundwater,38.625833,-120.129444
CA0300051,NA,001,well 01 - polar bear well,active,permanent,well,groundwater,38.478639,-120.523472
CA0300052,NA,002,cook's station well #2,active,permanent,well,groundwater,38.475936,-120.526005
CA0300053,NA,003,well no. 2,active,permanent,well,groundwater,38.48208,-120.859
CA0300053,NA,005,well no. 3,proposed,permanent,well,groundwater,38.482919,-120.859414
CA0300055,NA,001,sunset west well 01,active,permanent,well,groundwater,38.357638,-120.826777
