"org_id","supplier_name"
369,"Cal Am Water Company - Garrapata"
2444,"Tahoe City Public Utility District - Timberland"
2444,"Tahoe City Public Utility District - Madden Creek"
2000,"Temecula - Vail Lake Koa"
2401,"Suburban Water Systems - Covina Knolls"
1631,"City Of Modesto - Central Turlock"
372,"Cal Am - Security Park"
2444,"Tahoe City Public Utility District - Alpine Peaks"
372,"Cal Am - Walnut Grove"
1752,"North Tahoe Public Utility District - Dollar Cove"
1752,"North Tahoe Public Utility District - Carnelian Woods"
372,"Cal Am - Isleton"
2444,"Tahoe City Public Utility District - Mckinney - Quail"
1444,"City Of Livingston"
241,"City Of Blythe"
2107,"Rosamond Community Services District"
1059,"Gswc - South San Gabriel"
1718,"Nevada Id - E. George, Banner Mountain"
1388,"City Of Lathrop"
2118,"Rubidoux Community Services District"
368,"Cal Am Water Company - Baldwin Hills"
2345,"City Of South Pasadena"
583,"Coastside County Water District"
1032,"Gswc - Bell, Bell Gardens"
1058,"Gswc - South Arcadia"
368,"Cal Am Water Company - Duarte"
286,"City Of Burlingame"
1038,"Gswc - Culver City"
1049,"Gswc - Norwalk"
1639,"Monrovia - City, Water Department"
1041,"Gswc - Florence - Graham"
1459,"Lompoc - City Water Utility Div"
2626,"Vaughn Water Company Inc"
372,"Cal Am - Antelope"
107,"Atascadero Mutual Water Company"
1029,"Gswc - Artesia"
1034,"Gswc - Claremont"
1053,"Golden State Water Company - Placentia - Yorba Linda"
1052,"Golden State Water Company - Orcutt"
2512,"Truckee - Donner Public Utility District, Main"
995,"City Of Gilroy"
1036,"Golden State Water Co. - Cordova"
368,"Cal Am Water Company - San Marino"
372,"Cal Am - Parkway"
372,"Cal Am - Lincoln Oaks"
2669,"City Of Watsonville"
1054,"Gswc - San Dimas"
372,"Cal Am - Suburban Rosemont"
1671,"City Of Mountain View"
904,"City Of Folsom Main"
2213,"Santa Cruz Water Department"
1450,"City Of Lodi"
1701,"City Of Napa"
2210,"City Of Santa Clara"
1062,"Golden State Water Company - West Orange County"
867,"City Of Fairfield"
2381,"City Of Stockton"
1060,"Gswc - Southwest"
2083,"City Of Riverside"
577,"Coachella Valley Water: Cove Community"
372,"Cal Am - West Placer"
372,"Cal Am - Arden"
577,"Coachella Valley Water: Irrigation District. No. 8"
1718,"Nevada Id - Lake Of Pines"
1697,"Myoma Dunes Mutual Water Company"
2444,"Tahoe City Public Utility District - Main"
1718,"Nevada Id - North Auburn"
2789,"City Of Yreka"
1718,"Nevada Id - Lake Wildwood"
1752,"North Tahoe Public Utility District - Main"
821,"El Monte - City, Water Department"
1533,"Mammoth Cwd"
4231,"Mountain House Community Services District"
2432,"City Of Susanville"
1718,"Nevada Id - Loma Rica"
1631,"City Of Modesto - North Turlock"
1631,"City Of Modesto - Walnut Manor"
427,"Cws - Tulco Water Company"
1631,"City Of Modesto - Grayson"
1631,"City Of Modesto - South Turlock"
1631,"City Of Modesto - Del Rio"
372,"Cal Am - Dunnigan"
2704,"City Of Westminster"
1083,"Great Oaks Water Company Inc"
673,"City Of Daly City"
117,"Azusa Light And Water"
1596,"Mesa Water District"
748,"Downey - City, Water Department"
2174,"City Of San Jose - Evg - Edv - Coy"
2037,"City Of Redwood City"
420,"California Water Service - San Mateo"
1849,"Palmdale Water District"
285,"Burbank - City, Water Department"
2661,"Walnut Valley Water District"
2597,"City Of Vacaville"
2209,"City Of Santa Barbara Water Department"
392,"California Water Service Co. - Ela"
396,"California Water Service Co. - Herm - Redo"
1945,"Pomona - City, Water Department"
4993,"Santa Clarita Valley W.a. - Valencia Divis"
4993,"Santa Clarita Valley W.a. - Santa Clarita"
2425,"City Of Sunnyvale"
391,"California Water Service Co. - Dominguez"
1004,"Glendale - City, Water Department"
977,"City Of Garden Grove"
2603,"City Of Vallejo"
123,"City Of Bakersfield"
624,"City Of Corona"
2000,"Rancho California Water District"
2132,"Sacramento County Water Agency - Laguna - Vineyard"
2207,"City Of Santa Ana"
424,"California Water Service - Stockton"
2167,"San Gabriel Valley Water Co. - El Monte"
2140,"Sacramento Suburban Water District"
2217,"Santa Margarita Water District"
1663,"Moulton Niguel Water District"
1546,"Marin Municipal Water District"
386,"Cws - Bakersfield"
1464,"Long Beach Utilities Department"
2130,"City Of Sacramento Main"
2175,"San Jose Water"
1473,"Los Angeles - City, Department. Of Water & Power"
445,"Cambria Comm Services District"
2633,"Vernon - City, Water Department"
397,"Cws Southlake System"
2180,"San Lorenzo Valley Water District - Felton Water System"
2167,"San Gabriel Valley Water Co - Montebello 1"
2174,"City Of San Jose - Nsj - Alviso"
397,"Cws - Kernville"
1094,"Greenfield County Water District"
390,"California Water Service Co. - Dixon"
2298,"Signal Hill - City, Water Department"
2132,"Sacramento County Water Agency - Arden Park Vista"
102,"Arvin Community Services District"
2290,"Sierra Madre - City, Water Department"
2691,"Westborough Water District"
1644,"Montebello Land & Water Co"
787,"City Of East Palo Alto"
2169,"City Of San Jacinto"
1587,"Menlo Park Municipal Water"
1181,"Town Of Hillsborough"
485,"Carpinteria Valley Water District"
1869,"Liberty Utilities - Lynwood"
2065,"City Of Ripon"
2060,"Rio Linda - Elverta Community Water District"
372,"Cal Am - Fruitridge Vista"
1408,"Temescal Valley Water District"
1110,"City Of Grover Beach Public Works Department"
2132,"Sacramento County Water Agency Mather - Sunrise"
2241,"City Of Seal Beach"
1660,"Morro Bay Public Works Department - Water Division"
2215,"Santa Fe Springs - City, Water Department"
1217,"Huntington Park - City, Water Department"
1803,"Orange Vale Water Company"
1983,"Quartz Hill Water District"
2180,"San Lorenzo Valley Water District"
1188,"City Of Hollister"
1142,"Hawthorne - City Of City Water Department"
2419,"Sunny Slope Water Co"
386,"Cws - North Garden"
1866,"Paramount - City, Water Department"
1732,"City Of Norco"
784,"East Niles Community Services District"
856,"Estero Municipal Improvement District"
1605,"Mid - Peninsula Water District"
1782,"Oildale Mutual Water Company"
575,"Coachella Water Authority"
1927,"Placer Cwa - Auburn - Bowman"
2405,"Suisun - Solano Water Authority"
2165,"San Gabriel County Water District"
1335,"Laguna Beach County Water District"
1157,"City Of Hemet"
1899,"Pico Rivera - City, Water Department"
178,"City Of Benicia"
830,"El Toro Water District"
420,"California Water Service - San Carlos"
1875,"Paso Robles Water Department"
193,"Beverly Hills - City, Water Department"
2177,"City Of San Juan Capistrano"
481,"Carmichael Water District"
2723,"Whittier - City, Water Department"
2157,"City Of San Bruno"
1234,"Indian Wells Valley W.d"
263,"City Of Brea"
1739,"North Coast County Water District"
835,"Elk Grove Water District"
2605,"Valley County Water District"
1626,"Mission Springs Water District"
1536,"Manhattan Beach - City, Water Department"
1650,"Monterey Park - City, Water Department"
1005,"Glendora - City, Water Department"
1510,"City Of Madera"
93,"City Of Arcadia"
2115,"Rowland Water District"
2528,"City Of Tustin"
607,"Compton - City, Water Department"
2182,"San Luis Obispo Water Department"
1619,"City Of Milpitas"
2330,"Soquel Creek Water District"
1125,"City Of Hanford"
422,"California Water Service - S San Francisco"
1869,"Liberty Utilities - Bellflower - Norwalk"
30,"City Of Alhambra"
387,"California Water Service - Bear Gulch"
402,"Cwsc Los Altos Suburban"
1851,"City Of Palo Alto"
1748,"North Marin Water District"
1236,"Indio Water Authority"
727,"Desert Water Agency"
1927,"Placer Cwa - Foothill"
2782,"Yorba Linda Water District"
2496,"City Of Tracy"
413,"California Water Service Co. - Palos Ver"
369,"Cal Am Water Company - Ralph Lane"
369,"Cal Am Water Company - Chualar"
369,"Cal Am Water Company - Ambler Park"
369,"Cal Am Water Company - Toro"
369,"Cal Am Water Company - Hidden Hills"
417,"Country Meadows Mutual Water Company"
417,"Cwsc Las Lomas"
417,"Cwsc Oak Hills"
2603,"City Of Vallejo - Lakes System"
2451,"City Of Tehachapi"
2237,"Scotts Valley Water District"
2063,"City Of Rio Vista"
2260,"City Of Shafter"
1333,"La Verne, City Water District"
1238,"Inglewood - City, Water Department"
1424,"City Of Lincoln"
110,"City Of Atwater"
2523,"Tuolumne Utilities District - Wards Ferry Ranches"
2523,"Tuolumne Utilities District - Peaceful Pines Water System"
1718,"Nevada Id - Smartsville"
2523,"Tuolumne Utilities District - Phoenix Lake Park"
2523,"Tuolumne Utilities District - Apple Valley Estates"
2523,"Tuolumne Utilities District - Scenic View - Scenic Brook"
2523,"Tuolumne Utilities District - Ponderosa"
376,"Cal American Water Company - Las Posas Estates"
2523,"Tuolumne Utilities District - Cedar Ridge Water System"
2523,"Tuolumne Utilities District - Tuolumne Water System"
2132,"Hood Water Maintenance District [Sws]"
2132,"Northgate 880 [Sws]"
2132,"East Walnut Grove [Sws]"
495,"Casitas Municipal Water District"
405,"Cal - Water Service Co. - Marysville"
1792,"Olivehurst Public Utility District"
1427,"Linda County Water District"
2523,"Tuolumne Utilities District - Sonora - Jamestown Water System"
428,"California Water Service Co - Westlake"
1057,"Golden State Water Company - Simi Valley"
2683,"City Of West Sacramento"
376,"Cal American Water Co"
2523,"Tuolumne Utilities District - Upper Basin Water System"
2523,"Tuolumne Utilities District - Columbia Water System"
1792,"Plumas Lake"
495,"Ojai Water System"
